"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"514","Haliny","PN","G","67","475","2510"
"515","Hallera Józefa","PG","G","41","333","1862"
"516","Halna","PJ","G","66","116","1008"
"517","Halszki","PS","F","114","655","1716"
"518","Hangarowa","PJ","G","67","214","944"
"519","Harcerska","PN","G","68","119","540"
"520","Hawelańska","PS","G","52","392","2811"
"521","Hejmowskiego Stanisława","PS","F","789","125","801"
"522","Helska","PN","G","69","81","364"
"523","Herberta Zbigniewa","PJ","F","95","190","1146"
"524","Herbowa","PS","G","624","131","712"
"525","Hercena Aleksandra","PS","G","674","1156","5672"
"526","Herlinga-Grudzińskiego Gustawa","PJ","F","95","144","816"
"527","Heweliusza","PG","G","74","318","1955"
"528","Hezjoda","PJ","F","520","603","3753"
"529","Hiacyntowa","PG","G","116","1203","4772"
"530","Hłaski Marka","PJ","G","156","281","1235"
"531","Hodowlana","PS","G","117","706","2339"
"532","Hodowlana","PS","F","518","217","429"
"533","Hoffmanowej Klementyny","PJ","F","404","139","722"
"534","Homera","PJ","F","515","902","4359"
"535","Horacego","PJ","G","518","279","2397"
"536","Hoża","PJ","G","68","208","1377"
"537","Hrubieszowska","PN","G","70","327","2043"
"538","Hrynakowskiego Konstantego","PG","G","118","110","966"
"539","Hubalczyków","PS","G","119","46","246"
"540","Huby Moraskie","PS","G","120","2761","8644"
"541","Hulewiczów","PS","G","53","512","2866"
"542","Husarska","PG","G","76","431","1839"
"543","Hutnicza","PW","G","48","112","759"
"544","Hynka Franciszka","PJ","G","121","187","873"
"545","Idzikowskiego Ludwika","PJ","G","69","235","1152"
"546","Ikara","PJ","G","70","85","315"
"547","Iłłakowiczówny Kazimiery","PG","G","264","321","2119"
"548","Iłowska","PN","G","71","373","1563"
"549","Iłżańska","PN","G","72","719","2971"
"550","Inflancka","PN","G","187","618","1832"
"551","Inowrocławska","PN","G","73","776","2862"
"552","Inspektowa","PS","F","579","214","601"
"553","Irysowa","PG","G","122","233","772"
"554","Irzykowskiego Karola","PJ","F","690","356","2178"
"555","Iwaszkiewicza Jarosława","PJ","F","95","187","1147"
"556","Iwonicka","PJ","G","71","431","2462"
"557","Izbicka","PJ","G","123","279","2082"
"558","Jabłonkowska","PW","G","49","374","1939"
"559","Jachowicza Stanisława","PG","G","125","322","2057"
"560","Jachtowa","PJ","G","124","504","2188"
"561","Jackowskiego Maksymiliana","PJ","G","72","662","5725"
"562","Jagodowa","PN","G","75","737","3033"
"563","Jakiela Stanisława","PJ","G","199","110","585"
"564","Jałowcowa","PW","G","50","283","894"
"565","Janickiego Klemensa","PJ","G","73","649","3432"
"566","Janikowska","PN","G","126","1782","13471"
